model,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,feature_set,n_numeric_features,learning_rate,max_depth,n_estimators,subsample
gradient_boosting_tuned,0.12629494925574608,0.01145603099096611,0.7941026218809843,0.02733810207712493,0.4893155141458335,0.15060863799387433,0.11977404145842878,-0.9560917853197684,0.2930224682463196,0.24681533504505,core_lagged,10,0.03,2,500,1.0
gradient_boosting_tuned,0.1216456250277473,0.01443425900031633,0.8083432567302851,0.03612785374515358,0.4859300329210615,0.15110702836823398,0.12145258856274141,-0.8376268777550155,0.2840108782629482,0.2390832223715296,core_lagged,10,0.03,2,500,0.8
gradient_boosting_tuned,0.11769222107178375,0.016657607094785813,0.8198224663588072,0.042287153526134075,0.481752941936495,0.1517196986711799,0.12236450927014039,-0.9536008459172618,0.29283583750270176,0.2443284711771595,core_lagged,10,0.1,2,200,0.8
gradient_boosting_tuned,0.12638668612025095,0.011245703955376342,0.7937617722188597,0.027075721581445444,0.4771476346240625,0.15239232231006264,0.12102429059118543,-0.9229625455103392,0.2905304925122767,0.24449237313045272,core_lagged,10,0.05,2,300,1.0
gradient_boosting_tuned,0.12200925530275852,0.011145780664532076,0.8076580033711007,0.02677867990627175,0.4759360775751881,0.15256878240723784,0.11974750361246939,-0.7065854796721176,0.2736971850312263,0.23232225794793113,core_lagged,10,0.03,3,200,1.0
gradient_boosting_tuned,0.1317117086218203,0.013706752079711938,0.7757858214803448,0.03586498033230903,0.46249902960399014,0.15451234191851437,0.12400182871069913,-0.7513322343260134,0.27726214466289956,0.2326142476722699,core_lagged,10,0.05,2,200,0.8
gradient_boosting_tuned,0.13494627177900884,0.010502501846058663,0.7652166251604221,0.02492054472907303,0.43646532339106314,0.15820997843681417,0.12559190406850929,-0.824887105467681,0.28302468056066915,0.23968988261548738,core_lagged,10,0.05,2,200,1.0
gradient_boosting_tuned,0.13790298990709876,0.010492027541173544,0.7548543634710142,0.025038386159231995,0.4305617415330285,0.15903652218763914,0.12630068516417756,-0.8463403657920061,0.2846834301147509,0.24090470109949108,core_lagged,10,0.03,2,300,1.0
gradient_boosting_tuned,0.13482332410880724,0.012920614286630595,0.7653576066930876,0.03321254897327479,0.42968221029520937,0.1591592954791231,0.12788461566258086,-0.806285546509957,0.2815785129583028,0.23890074202643843,core_lagged,10,0.03,2,300,0.8
gradient_boosting_tuned,0.14908527929150878,0.01032697793420306,0.713657283961628,0.024645044343747154,0.3894577267813121,0.1646764205374251,0.12995492064001504,-0.8117114674040964,0.28200111421837293,0.2406882821208325,core_lagged,10,0.03,2,200,1.0
gradient_boosting_tuned,0.1465125025263095,0.011994317621946221,0.7233020953649898,0.030794510789990102,0.361679489394482,0.16838094730379502,0.13542268595201878,-0.9048322034535736,0.2891576389835081,0.2482480072712911,core_lagged,10,0.03,2,200,0.8
